Date,Open,High,Low,Close,Adj Close,Volume
2021-10-19,7475.0,7525.0,7350.0,7500.0,715.560.595.703.125,134601200
2021-10-21,7500.0,7550.0,7350.0,7400.0,7.060.197.265.625,106120100
2021-10-22,7450.0,7550.0,7425.0,7525.0,717.945.751.953.125,96730700
2021-10-25,7400.0,7525.0,7400.0,7525.0,717.945.751.953.125,60329800
2021-10-26,7600.0,7600.0,7500.0,7525.0,717.945.751.953.125,70103000
2021-10-27,7575.0,7575.0,7425.0,7450.0,71.079.013.671.875,57067000
2021-10-28,7350.0,7425.0,7350.0,7375.0,703.634.521.484.375,75271900
2021-10-29,7450.0,7475.0,7375.0,7475.0,713.175.341.796.875,60639200
2021-11-01,7550.0,7550.0,7400.0,7400.0,7.060.197.265.625,38593400
2021-11-02,7375.0,7425.0,7250.0,7300.0,69.647.900.390.625,90535400
2021-11-03,7300.0,7400.0,7250.0,7350.0,701.249.365.234.375,61621500
2021-11-04,7425.0,7475.0,7375.0,7375.0,703.634.521.484.375,61081400
2021-11-05,7475.0,7475.0,7375.0,7450.0,71.079.013.671.875,43120400
2021-11-08,7500.0,7600.0,7450.0,7575.0,722.716.162.109.375,85441700
2021-11-09,7600.0,7675.0,7575.0,7675.0,73.225.703.125,101785800
2021-11-10,7675.0,7675.0,7575.0,7650.0,729.871.826.171.875,47503900
2021-11-11,7700.0,7750.0,7600.0,7675.0,73.225.703.125,55790000
2021-11-12,7750.0,7750.0,7525.0,7525.0,717.945.751.953.125,52590100
2021-11-15,7625.0,7625.0,7500.0,7500.0,715.560.595.703.125,67344200
2021-11-16,7400.0,7475.0,7325.0,7475.0,713.175.341.796.875,98616900
2021-11-17,7500.0,7575.0,7425.0,7575.0,725.141.357.421.875,61968100
2021-11-18,7425.0,7500.0,7400.0,7400.0,70.838.896.484.375,78839600
2021-11-19,7425.0,7450.0,7375.0,7425.0,710.782.177.734.375,68203700
2021-11-22,7425.0,7525.0,7400.0,7475.0,7.155.685.546.875,66328300
2021-11-23,7400.0,7500.0,7400.0,7475.0,7.155.685.546.875,43477500
2021-11-24,7575.0,7575.0,7425.0,7475.0,7.155.685.546.875,35181400
2021-11-25,7450.0,7525.0,7425.0,7425.0,710.782.177.734.375,40216100
2021-11-26,7400.0,7450.0,7250.0,7275.0,696.422.900.390.625,113288400
2021-11-29,7275.0,7425.0,7175.0,7400.0,70.838.896.484.375,87907900
2021-11-30,7325.0,7425.0,7275.0,7275.0,696.422.900.390.625,144923700
2021-12-01,7275.0,7450.0,7275.0,7300.0,69.881.611.328.125,76538100
2021-12-02,7375.0,7500.0,7300.0,7500.0,717.961.767.578.125,66831000
2021-12-03,7525.0,7525.0,7350.0,7375.0,705.995.751.953.125,63283700
2021-12-06,7450.0,7475.0,7350.0,7350.0,7.036.025.390.625,56944100
2021-12-07,7450.0,7475.0,7350.0,7350.0,7.036.025.390.625,51258200
2021-12-08,7450.0,7475.0,7400.0,7425.0,710.782.177.734.375,74775000
2021-12-09,7400.0,7450.0,7350.0,7350.0,7.036.025.390.625,54886400
2021-12-10,7325.0,7375.0,7275.0,7375.0,705.995.751.953.125,91092400
2021-12-13,7375.0,7400.0,7300.0,7300.0,69.881.611.328.125,59977100
2021-12-14,7300.0,7375.0,7275.0,7300.0,69.881.611.328.125,49763600
2021-12-15,7300.0,7375.0,7275.0,7300.0,69.881.611.328.125,52477600
2021-12-16,7375.0,7400.0,7275.0,7275.0,696.422.900.390.625,95171400
2021-12-17,7325.0,7500.0,7300.0,7500.0,717.961.767.578.125,107096800
2021-12-20,7350.0,7400.0,7325.0,7375.0,705.995.751.953.125,74753000
2021-12-21,7325.0,7400.0,7325.0,7375.0,705.995.751.953.125,52386100
2021-12-22,7425.0,7425.0,7325.0,7325.0,701.209.326.171.875,33232000
2021-12-23,7325.0,7350.0,7300.0,7300.0,69.881.611.328.125,37136400
2021-12-24,7300.0,7350.0,7300.0,7300.0,69.881.611.328.125,30802100
2021-12-27,7300.0,7350.0,7300.0,7350.0,7.036.025.390.625,20722100
2021-12-28,7375.0,7400.0,7325.0,7350.0,7.036.025.390.625,39343800
2021-12-29,7350.0,7375.0,7300.0,7300.0,69.881.611.328.125,42079500
2021-12-30,7350.0,7350.0,7300.0,7300.0,69.881.611.328.125,49954700
2022-01-03,7325.0,7400.0,7300.0,7325.0,701.209.326.171.875,54287400
2022-01-04,7325.0,7450.0,7325.0,7400.0,70.838.896.484.375,70624000
2022-01-05,7450.0,7525.0,7375.0,7450.0,713.175.341.796.875,76164900
2022-01-06,7500.0,7525.0,7425.0,7475.0,7.155.685.546.875,63657100
2022-01-07,7550.0,7700.0,7500.0,7650.0,73.232.099.609.375,143433300
2022-01-10,7575.0,7650.0,7550.0,7600.0,727.534.619.140.625,45351900
2022-01-11,7650.0,7700.0,7625.0,7700.0,737.107.421.875,110334600
2022-01-12,7700.0,7700.0,7650.0,7700.0,737.107.421.875,62606000
2022-01-13,7700.0,7750.0,7650.0,7700.0,737.107.421.875,50025200
2022-01-14,7700.0,7850.0,7650.0,7850.0,7.514.666.015.625,65898700
2022-01-17,7900.0,7900.0,7700.0,7750.0,74.189.384.765.625,63902600
2022-01-18,7775.0,7775.0,7550.0,7675.0,734.714.208.984.375,71476300
2022-01-19,7650.0,7725.0,7575.0,7675.0,734.714.208.984.375,60389700
2022-01-20,7725.0,7775.0,7625.0,7775.0,744.287.060.546.875,59925500
2022-01-21,7775.0,7950.0,7700.0,7950.0,761.039.453.125,63370500
2022-01-24,7825.0,7850.0,7775.0,7800.0,7.466.802.734.375,40278300
